"","noc_code","workshop.number","noc","absolute","share","value.Reading Comprehension","value.Active Listening","value.Writing","value.Speaking","value.Mathematics Skill","value.Science","value.Critical Thinking","value.Active Learning","value.Learning Strategies","value.Monitoring","value.Social Perceptiveness","value.Coordination","value.Persuasion","value.Negotiation","value.Instructing","value.Service Orientation","value.Complex Problem Solving","value.Operations Analysis","value.Technology Design","value.Equipment Selection","value.Installation","value.Programming","value.Operation Monitoring","value.Operation and Control","value.Equipment Maintenance","value.Troubleshooting","value.Repairing","value.Quality Control Analysis","value.Judgment and Decision Making","value.Systems Analysis","value.Systems Evaluation","value.Time Management","value.Management of Financial Resources","value.Management of Material Resources","value.Management of Personnel Resources","value.Oral Comprehension","value.Written Comprehension","value.Oral Expression","value.Written Expression","value.Fluency of Ideas","value.Originality","value.Problem Sensitivity","value.Deductive Reasoning","value.Inductive Reasoning","value.Information Ordering","value.Category Flexibility","value.Mathematical Reasoning","value.Number Facility","value.Memorization","value.Speed of Closure","value.Flexibility of Closure","value.Perceptual Speed","value.Spatial Orientation","value.Visualization","value.Selective Attention","value.Time Sharing","value.Arm-Hand Steadiness","value.Manual Dexterity","value.Finger Dexterity","value.Control Precision","value.Multilimb Coordination","value.Response Orientation","value.Rate Control","value.Reaction Time","value.Wrist-Finger Speed","value.Speed of Limb Movement","value.Static Strength","value.Explosive Strength","value.Dynamic Strength","value.Trunk Strength","value.Stamina","value.Extent Flexibility","value.Dynamic Flexibility","value.Gross Body Coordination","value.Gross Body Equilibrium","value.Near Vision","value.Far Vision","value.Visual Color Discrimination","value.Night Vision","value.Peripheral Vision","value.Depth Perception","value.Glare Sensitivity","value.Hearing Sensitivity","value.Auditory Attention","value.Sound Localization","value.Speech Recognition","value.Speech Clarity","value.Administration and Management","value.Clerical","value.Economics and Accounting","value.Sales and Marketing","value.Customer and Personal Service","value.Personnel and Human Resources","value.Production and Processing","value.Food Production","value.Computers and Electronics","value.Engineering and Technology","value.Design","value.Building and Construction","value.Mechanical","value.Mathematics Knowledge","value.Physics","value.Chemistry","value.Biology","value.Psychology","value.Sociology and Anthropology","value.Geography","value.Medicine and Dentistry","value.Therapy and Counseling","value.Education and Training","value.English Language","value.Foreign Language","value.Fine Arts","value.History and Archeology","value.Philosophy and Theology","value.Public Safety and Security","value.Law and Government","value.Telecommunications","value.Communications and Media","value.Transportation"
"1",13,6,"Senior managers - financial, communications and other business services","same","remain constant",4,4,3.71,4.12666666666667,2.79333333333333,1.83666666666667,4.08666666666667,3.66666666666667,3.16666666666667,3.91333333333333,4,3.95666666666667,3.70666666666667,3.54,3.16333333333333,3.20666666666667,3.96,2.83,1.75,1.08,1,1.58,2.29333333333333,1.79,1,1.37333333333333,1,2.12666666666667,3.91666666666667,3.58,3.58,3.71,3.28666666666667,3.17,3.71,4.16666666666667,4.08333333333333,4.12666666666667,4,3.5,3.5,3.96,3.95666666666667,3.70666666666667,3.54,3.29333333333333,3.04666666666667,2.91666666666667,2.45666666666667,2.58333333333333,3.04333333333333,2.70666666666667,1.29,2.87333333333333,2.96,2.83333333333333,1.33333333333333,1.16666666666667,2.08333333333333,1.75,1.75,1.16666666666667,1.29,1.45666666666667,1.16666666666667,1.16666666666667,1.33333333333333,1.16666666666667,1.20666666666667,1.41333333333333,1.33333333333333,1.12666666666667,1,1.29333333333333,1.16666666666667,3.50333333333333,2.79,1.96,1.12666666666667,1.16666666666667,1.91666666666667,1.12666666666667,1.91666666666667,2.04,1.20666666666667,4,4.04,4.31666666666667,2.91666666666667,3.37666666666667,3.4,3.88666666666667,3.52666666666667,2.75,1.37333333333333,2.73666666666667,2.50666666666667,2.71666666666667,2.77,2.34,3.36,1.84,1.91333333333333,1.76,2.9,2.26666666666667,1.93666666666667,1.37666666666667,1.66666666666667,3.23,3.86333333333333,1.52666666666667,1.32333333333333,1.49666666666667,1.68666666666667,2.93333333333333,3.25,1.94666666666667,2.71,2.27666666666667
"2",13,6,"Senior managers - financial, communications and other business services","same","remain constant",4,4,3.71,4.12666666666667,2.79333333333333,1.83666666666667,4.08666666666667,3.66666666666667,3.16666666666667,3.91333333333333,4,3.95666666666667,3.70666666666667,3.54,3.16333333333333,3.20666666666667,3.96,2.83,1.75,1.08,1,1.58,2.29333333333333,1.79,1,1.37333333333333,1,2.12666666666667,3.91666666666667,3.58,3.58,3.71,3.28666666666667,3.17,3.71,4.16666666666667,4.08333333333333,4.12666666666667,4,3.5,3.5,3.96,3.95666666666667,3.70666666666667,3.54,3.29333333333333,3.04666666666667,2.91666666666667,2.45666666666667,2.58333333333333,3.04333333333333,2.70666666666667,1.29,2.87333333333333,2.96,2.83333333333333,1.33333333333333,1.16666666666667,2.08333333333333,1.75,1.75,1.16666666666667,1.29,1.45666666666667,1.16666666666667,1.16666666666667,1.33333333333333,1.16666666666667,1.20666666666667,1.41333333333333,1.33333333333333,1.12666666666667,1,1.29333333333333,1.16666666666667,3.50333333333333,2.79,1.96,1.12666666666667,1.16666666666667,1.91666666666667,1.12666666666667,1.91666666666667,2.04,1.20666666666667,4,4.04,4.31666666666667,2.91666666666667,3.37666666666667,3.4,3.88666666666667,3.52666666666667,2.75,1.37333333333333,2.73666666666667,2.50666666666667,2.71666666666667,2.77,2.34,3.36,1.84,1.91333333333333,1.76,2.9,2.26666666666667,1.93666666666667,1.37666666666667,1.66666666666667,3.23,3.86333333333333,1.52666666666667,1.32333333333333,1.49666666666667,1.68666666666667,2.93333333333333,3.25,1.94666666666667,2.71,2.27666666666667
"3",13,6,"Senior managers - financial, communications and other business services","same","remain constant",4,4,3.71,4.12666666666667,2.79333333333333,1.83666666666667,4.08666666666667,3.66666666666667,3.16666666666667,3.91333333333333,4,3.95666666666667,3.70666666666667,3.54,3.16333333333333,3.20666666666667,3.96,2.83,1.75,1.08,1,1.58,2.29333333333333,1.79,1,1.37333333333333,1,2.12666666666667,3.91666666666667,3.58,3.58,3.71,3.28666666666667,3.17,3.71,4.16666666666667,4.08333333333333,4.12666666666667,4,3.5,3.5,3.96,3.95666666666667,3.70666666666667,3.54,3.29333333333333,3.04666666666667,2.91666666666667,2.45666666666667,2.58333333333333,3.04333333333333,2.70666666666667,1.29,2.87333333333333,2.96,2.83333333333333,1.33333333333333,1.16666666666667,2.08333333333333,1.75,1.75,1.16666666666667,1.29,1.45666666666667,1.16666666666667,1.16666666666667,1.33333333333333,1.16666666666667,1.20666666666667,1.41333333333333,1.33333333333333,1.12666666666667,1,1.29333333333333,1.16666666666667,3.50333333333333,2.79,1.96,1.12666666666667,1.16666666666667,1.91666666666667,1.12666666666667,1.91666666666667,2.04,1.20666666666667,4,4.04,4.31666666666667,2.91666666666667,3.37666666666667,3.4,3.88666666666667,3.52666666666667,2.75,1.37333333333333,2.73666666666667,2.50666666666667,2.71666666666667,2.77,2.34,3.36,1.84,1.91333333333333,1.76,2.9,2.26666666666667,1.93666666666667,1.37666666666667,1.66666666666667,3.23,3.86333333333333,1.52666666666667,1.32333333333333,1.49666666666667,1.68666666666667,2.93333333333333,3.25,1.94666666666667,2.71,2.27666666666667
"4",13,6,"Senior managers - financial, communications and other business services","fewer","decrease",4,4,3.71,4.12666666666667,2.79333333333333,1.83666666666667,4.08666666666667,3.66666666666667,3.16666666666667,3.91333333333333,4,3.95666666666667,3.70666666666667,3.54,3.16333333333333,3.20666666666667,3.96,2.83,1.75,1.08,1,1.58,2.29333333333333,1.79,1,1.37333333333333,1,2.12666666666667,3.91666666666667,3.58,3.58,3.71,3.28666666666667,3.17,3.71,4.16666666666667,4.08333333333333,4.12666666666667,4,3.5,3.5,3.96,3.95666666666667,3.70666666666667,3.54,3.29333333333333,3.04666666666667,2.91666666666667,2.45666666666667,2.58333333333333,3.04333333333333,2.70666666666667,1.29,2.87333333333333,2.96,2.83333333333333,1.33333333333333,1.16666666666667,2.08333333333333,1.75,1.75,1.16666666666667,1.29,1.45666666666667,1.16666666666667,1.16666666666667,1.33333333333333,1.16666666666667,1.20666666666667,1.41333333333333,1.33333333333333,1.12666666666667,1,1.29333333333333,1.16666666666667,3.50333333333333,2.79,1.96,1.12666666666667,1.16666666666667,1.91666666666667,1.12666666666667,1.91666666666667,2.04,1.20666666666667,4,4.04,4.31666666666667,2.91666666666667,3.37666666666667,3.4,3.88666666666667,3.52666666666667,2.75,1.37333333333333,2.73666666666667,2.50666666666667,2.71666666666667,2.77,2.34,3.36,1.84,1.91333333333333,1.76,2.9,2.26666666666667,1.93666666666667,1.37666666666667,1.66666666666667,3.23,3.86333333333333,1.52666666666667,1.32333333333333,1.49666666666667,1.68666666666667,2.93333333333333,3.25,1.94666666666667,2.71,2.27666666666667
"5",13,6,"Senior managers - financial, communications and other business services","fewer","decrease",4,4,3.71,4.12666666666667,2.79333333333333,1.83666666666667,4.08666666666667,3.66666666666667,3.16666666666667,3.91333333333333,4,3.95666666666667,3.70666666666667,3.54,3.16333333333333,3.20666666666667,3.96,2.83,1.75,1.08,1,1.58,2.29333333333333,1.79,1,1.37333333333333,1,2.12666666666667,3.91666666666667,3.58,3.58,3.71,3.28666666666667,3.17,3.71,4.16666666666667,4.08333333333333,4.12666666666667,4,3.5,3.5,3.96,3.95666666666667,3.70666666666667,3.54,3.29333333333333,3.04666666666667,2.91666666666667,2.45666666666667,2.58333333333333,3.04333333333333,2.70666666666667,1.29,2.87333333333333,2.96,2.83333333333333,1.33333333333333,1.16666666666667,2.08333333333333,1.75,1.75,1.16666666666667,1.29,1.45666666666667,1.16666666666667,1.16666666666667,1.33333333333333,1.16666666666667,1.20666666666667,1.41333333333333,1.33333333333333,1.12666666666667,1,1.29333333333333,1.16666666666667,3.50333333333333,2.79,1.96,1.12666666666667,1.16666666666667,1.91666666666667,1.12666666666667,1.91666666666667,2.04,1.20666666666667,4,4.04,4.31666666666667,2.91666666666667,3.37666666666667,3.4,3.88666666666667,3.52666666666667,2.75,1.37333333333333,2.73666666666667,2.50666666666667,2.71666666666667,2.77,2.34,3.36,1.84,1.91333333333333,1.76,2.9,2.26666666666667,1.93666666666667,1.37666666666667,1.66666666666667,3.23,3.86333333333333,1.52666666666667,1.32333333333333,1.49666666666667,1.68666666666667,2.93333333333333,3.25,1.94666666666667,2.71,2.27666666666667
"6",13,6,"Senior managers - financial, communications and other business services","same","remain constant",4,4,3.71,4.12666666666667,2.79333333333333,1.83666666666667,4.08666666666667,3.66666666666667,3.16666666666667,3.91333333333333,4,3.95666666666667,3.70666666666667,3.54,3.16333333333333,3.20666666666667,3.96,2.83,1.75,1.08,1,1.58,2.29333333333333,1.79,1,1.37333333333333,1,2.12666666666667,3.91666666666667,3.58,3.58,3.71,3.28666666666667,3.17,3.71,4.16666666666667,4.08333333333333,4.12666666666667,4,3.5,3.5,3.96,3.95666666666667,3.70666666666667,3.54,3.29333333333333,3.04666666666667,2.91666666666667,2.45666666666667,2.58333333333333,3.04333333333333,2.70666666666667,1.29,2.87333333333333,2.96,2.83333333333333,1.33333333333333,1.16666666666667,2.08333333333333,1.75,1.75,1.16666666666667,1.29,1.45666666666667,1.16666666666667,1.16666666666667,1.33333333333333,1.16666666666667,1.20666666666667,1.41333333333333,1.33333333333333,1.12666666666667,1,1.29333333333333,1.16666666666667,3.50333333333333,2.79,1.96,1.12666666666667,1.16666666666667,1.91666666666667,1.12666666666667,1.91666666666667,2.04,1.20666666666667,4,4.04,4.31666666666667,2.91666666666667,3.37666666666667,3.4,3.88666666666667,3.52666666666667,2.75,1.37333333333333,2.73666666666667,2.50666666666667,2.71666666666667,2.77,2.34,3.36,1.84,1.91333333333333,1.76,2.9,2.26666666666667,1.93666666666667,1.37666666666667,1.66666666666667,3.23,3.86333333333333,1.52666666666667,1.32333333333333,1.49666666666667,1.68666666666667,2.93333333333333,3.25,1.94666666666667,2.71,2.27666666666667
"7",13,6,"Senior managers - financial, communications and other business services","more","increase",4,4,3.71,4.12666666666667,2.79333333333333,1.83666666666667,4.08666666666667,3.66666666666667,3.16666666666667,3.91333333333333,4,3.95666666666667,3.70666666666667,3.54,3.16333333333333,3.20666666666667,3.96,2.83,1.75,1.08,1,1.58,2.29333333333333,1.79,1,1.37333333333333,1,2.12666666666667,3.91666666666667,3.58,3.58,3.71,3.28666666666667,3.17,3.71,4.16666666666667,4.08333333333333,4.12666666666667,4,3.5,3.5,3.96,3.95666666666667,3.70666666666667,3.54,3.29333333333333,3.04666666666667,2.91666666666667,2.45666666666667,2.58333333333333,3.04333333333333,2.70666666666667,1.29,2.87333333333333,2.96,2.83333333333333,1.33333333333333,1.16666666666667,2.08333333333333,1.75,1.75,1.16666666666667,1.29,1.45666666666667,1.16666666666667,1.16666666666667,1.33333333333333,1.16666666666667,1.20666666666667,1.41333333333333,1.33333333333333,1.12666666666667,1,1.29333333333333,1.16666666666667,3.50333333333333,2.79,1.96,1.12666666666667,1.16666666666667,1.91666666666667,1.12666666666667,1.91666666666667,2.04,1.20666666666667,4,4.04,4.31666666666667,2.91666666666667,3.37666666666667,3.4,3.88666666666667,3.52666666666667,2.75,1.37333333333333,2.73666666666667,2.50666666666667,2.71666666666667,2.77,2.34,3.36,1.84,1.91333333333333,1.76,2.9,2.26666666666667,1.93666666666667,1.37666666666667,1.66666666666667,3.23,3.86333333333333,1.52666666666667,1.32333333333333,1.49666666666667,1.68666666666667,2.93333333333333,3.25,1.94666666666667,2.71,2.27666666666667
"8",13,6,"Senior managers - financial, communications and other business services","more","decrease",4,4,3.71,4.12666666666667,2.79333333333333,1.83666666666667,4.08666666666667,3.66666666666667,3.16666666666667,3.91333333333333,4,3.95666666666667,3.70666666666667,3.54,3.16333333333333,3.20666666666667,3.96,2.83,1.75,1.08,1,1.58,2.29333333333333,1.79,1,1.37333333333333,1,2.12666666666667,3.91666666666667,3.58,3.58,3.71,3.28666666666667,3.17,3.71,4.16666666666667,4.08333333333333,4.12666666666667,4,3.5,3.5,3.96,3.95666666666667,3.70666666666667,3.54,3.29333333333333,3.04666666666667,2.91666666666667,2.45666666666667,2.58333333333333,3.04333333333333,2.70666666666667,1.29,2.87333333333333,2.96,2.83333333333333,1.33333333333333,1.16666666666667,2.08333333333333,1.75,1.75,1.16666666666667,1.29,1.45666666666667,1.16666666666667,1.16666666666667,1.33333333333333,1.16666666666667,1.20666666666667,1.41333333333333,1.33333333333333,1.12666666666667,1,1.29333333333333,1.16666666666667,3.50333333333333,2.79,1.96,1.12666666666667,1.16666666666667,1.91666666666667,1.12666666666667,1.91666666666667,2.04,1.20666666666667,4,4.04,4.31666666666667,2.91666666666667,3.37666666666667,3.4,3.88666666666667,3.52666666666667,2.75,1.37333333333333,2.73666666666667,2.50666666666667,2.71666666666667,2.77,2.34,3.36,1.84,1.91333333333333,1.76,2.9,2.26666666666667,1.93666666666667,1.37666666666667,1.66666666666667,3.23,3.86333333333333,1.52666666666667,1.32333333333333,1.49666666666667,1.68666666666667,2.93333333333333,3.25,1.94666666666667,2.71,2.27666666666667
"9",13,6,"Senior managers - financial, communications and other business services","fewer","remain constant",4,4,3.71,4.12666666666667,2.79333333333333,1.83666666666667,4.08666666666667,3.66666666666667,3.16666666666667,3.91333333333333,4,3.95666666666667,3.70666666666667,3.54,3.16333333333333,3.20666666666667,3.96,2.83,1.75,1.08,1,1.58,2.29333333333333,1.79,1,1.37333333333333,1,2.12666666666667,3.91666666666667,3.58,3.58,3.71,3.28666666666667,3.17,3.71,4.16666666666667,4.08333333333333,4.12666666666667,4,3.5,3.5,3.96,3.95666666666667,3.70666666666667,3.54,3.29333333333333,3.04666666666667,2.91666666666667,2.45666666666667,2.58333333333333,3.04333333333333,2.70666666666667,1.29,2.87333333333333,2.96,2.83333333333333,1.33333333333333,1.16666666666667,2.08333333333333,1.75,1.75,1.16666666666667,1.29,1.45666666666667,1.16666666666667,1.16666666666667,1.33333333333333,1.16666666666667,1.20666666666667,1.41333333333333,1.33333333333333,1.12666666666667,1,1.29333333333333,1.16666666666667,3.50333333333333,2.79,1.96,1.12666666666667,1.16666666666667,1.91666666666667,1.12666666666667,1.91666666666667,2.04,1.20666666666667,4,4.04,4.31666666666667,2.91666666666667,3.37666666666667,3.4,3.88666666666667,3.52666666666667,2.75,1.37333333333333,2.73666666666667,2.50666666666667,2.71666666666667,2.77,2.34,3.36,1.84,1.91333333333333,1.76,2.9,2.26666666666667,1.93666666666667,1.37666666666667,1.66666666666667,3.23,3.86333333333333,1.52666666666667,1.32333333333333,1.49666666666667,1.68666666666667,2.93333333333333,3.25,1.94666666666667,2.71,2.27666666666667
"10",13,6,"Senior managers - financial, communications and other business services","same","remain constant",4,4,3.71,4.12666666666667,2.79333333333333,1.83666666666667,4.08666666666667,3.66666666666667,3.16666666666667,3.91333333333333,4,3.95666666666667,3.70666666666667,3.54,3.16333333333333,3.20666666666667,3.96,2.83,1.75,1.08,1,1.58,2.29333333333333,1.79,1,1.37333333333333,1,2.12666666666667,3.91666666666667,3.58,3.58,3.71,3.28666666666667,3.17,3.71,4.16666666666667,4.08333333333333,4.12666666666667,4,3.5,3.5,3.96,3.95666666666667,3.70666666666667,3.54,3.29333333333333,3.04666666666667,2.91666666666667,2.45666666666667,2.58333333333333,3.04333333333333,2.70666666666667,1.29,2.87333333333333,2.96,2.83333333333333,1.33333333333333,1.16666666666667,2.08333333333333,1.75,1.75,1.16666666666667,1.29,1.45666666666667,1.16666666666667,1.16666666666667,1.33333333333333,1.16666666666667,1.20666666666667,1.41333333333333,1.33333333333333,1.12666666666667,1,1.29333333333333,1.16666666666667,3.50333333333333,2.79,1.96,1.12666666666667,1.16666666666667,1.91666666666667,1.12666666666667,1.91666666666667,2.04,1.20666666666667,4,4.04,4.31666666666667,2.91666666666667,3.37666666666667,3.4,3.88666666666667,3.52666666666667,2.75,1.37333333333333,2.73666666666667,2.50666666666667,2.71666666666667,2.77,2.34,3.36,1.84,1.91333333333333,1.76,2.9,2.26666666666667,1.93666666666667,1.37666666666667,1.66666666666667,3.23,3.86333333333333,1.52666666666667,1.32333333333333,1.49666666666667,1.68666666666667,2.93333333333333,3.25,1.94666666666667,2.71,2.27666666666667
