12,"(0.24428838025666133, 0.7557116197433387)"
13,"(0.24428838025666133, 0.7557116197433387)"
14,"(0.24428838025666133, 0.7557116197433387)"
15,"(0.2193479209534126, 0.7806520790465874)"
16,"(0.24428838025666133, 0.7557116197433387)"
111,"(0.21445198360519324, 0.7855480163948068)"
112,"(0.22097727697917408, 0.779022723020826)"
113,"(0.2454222034056147, 0.7545777965943853)"
114,"(0.196625796505228, 0.8033742034947721)"
121,"(0.20608959471722413, 0.7939104052827759)"
122,"(0.2128217607718352, 0.7871782392281649)"
124,"(0.27330151208503106, 0.7266984879149689)"
125,"(0.19297897416452447, 0.8070210258354755)"
131,"(0.21961656480990488, 0.780383435190095)"
132,"(0.20000483851904602, 0.799995161480954)"
211,"(0.2299344953433216, 0.7700655046566784)"
212,"(0.19525306704369397, 0.8047469329563062)"
213,"(0.1967865381201635, 0.8032134618798366)"
311,"(0.1849524602944035, 0.8150475397055965)"
414,"(0.1970558714109064, 0.8029441285890936)"
421,"(0.2391782173509983, 0.7608217826490017)"
422,"(0.26920417572945626, 0.7307958242705437)"
423,"(0.26234853245162776, 0.7376514675483721)"
431,"(0.25594198444334537, 0.7440580155566547)"
432,"(0.2574448757049774, 0.7425551242950226)"
512,"(0.24979976488751574, 0.7502002351124842)"
513,"(0.22079728473067298, 0.779202715269327)"
601,"(0.27462937552822225, 0.7253706244717778)"
621,"(0.19954703888236366, 0.8004529611176362)"
631,"(0.33282679713520236, 0.6671732028647978)"
632,"(0.3219914405765321, 0.6780085594234679)"
651,"(0.24929364147627178, 0.7507063585237282)"
711,"(0.21745159110227053, 0.7825484088977295)"
712,"(0.21745159110227053, 0.7825484088977295)"
714,"(0.20146724677414626, 0.7985327532258538)"
731,"(0.22791209828602157, 0.7720879017139783)"
821,"(0.23708857208584438, 0.7629114279141557)"
822,"(0.25531403752589277, 0.7446859624741072)"
823,"(0.22796671269130928, 0.7720332873086907)"
911,"(0.21350637841254197, 0.7864936215874581)"
912,"(0.17270272819641833, 0.8272972718035817)"
1111,"(0.20747696068891056, 0.7925230393110895)"
1112,"(0.2111147679847393, 0.7888852320152607)"
1113,"(0.21482230935236477, 0.7851776906476353)"
1114,"(0.19600238763564493, 0.8039976123643551)"
1121,"(0.18038913082839525, 0.8196108691716048)"
1122,"(0.19681759436400426, 0.8031824056359957)"
1123,"(0.2524840972469126, 0.7475159027530875)"
1211,"(0.2018116626146064, 0.7981883373853936)"
1212,"(0.2018116626146064, 0.7981883373853936)"
1213,"(0.22166986913587822, 0.7783301308641218)"
1214,"(0.20000483851904602, 0.799995161480954)"
1215,"(0.233208212324194, 0.7667917876758059)"
