noc,inc_projection
6231,0.087206941
6232,0.220104441
6235,0.246621038
6311,0.632651792
6312,0.446138091
6313,0.402670251
6314,0.456423109
6315,0.446138091
6316,0.456423109
6321,0.77050559
6322,0.56647992
6331,0.265665786
6332,0.502953085
6341,0.661867018
6342,0.739877352
6343,0.197956033
6344,0.563801861
6345,0.521538015
6346,0.572155116
6411,0.183487539
6421,0.323212285
6511,0.312145195
6512,0.587170191
6513,0.355734293
6521,0.295349194
6522,0.54065355
6523,0.082501802
6524,0.118929512
6525,0.401201862
6531,0.360878313
6532,0.62827151
6533,0.358542416
6541,0.517416758
6551,0.257026665
6552,0.257026665
6561,0.522586998
6562,0.549298315
6563,0.287013376
6564,0.456423109
6611,0.195583445
6621,0.133908707
6622,0.124118108
6623,0.372893757
6711,0.374241377
6721,0.230766081
6722,0.370833375
6731,0.59964514
6732,0.227177056
6733,0.202273464
6741,0.117241859
6742,0.303879011
7201,0.649116049
7202,0.649116049
7203,0.649116049
7204,0.649116049
7205,0.590868693
7231,0.262286692
7232,0.343311586
7233,0.361499201
7234,0.268654519
7235,0.202442615
7236,0.387203817
7237,0.172182101
7241,0.683781681
7242,0.508718204
7243,0.683781681
7244,0.465517867
7245,0.502314926
7246,0.438167494
7247,0.522340393
7251,0.559135679
7252,0.296359339
7253,0.296359339
7271,0.344772064
7272,0.344772064
7281,0.35007944
7282,0.378882738
7283,0.431559475
7284,0.414702831
7291,0.39610612
7292,0.250896068
7293,0.235465073
7294,0.17359854
7295,0.401630247
7301,0.593192125
7302,0.649116049
7303,0.291969335
7304,0.143537982
7305,0.285976848
7311,0.236699823
7312,0.204313046
7313,0.392032395
7314,0.188815681
7315,0.386156922
7316,0.262286692
7318,0.328862572
7321,0.42403817
7322,0.339828232
7331,0.440768081
7332,0.530638119
7333,0.520624815
7334,0.487288408
7335,0.2630014
7361,0.169085087
7362,0.111125712
7371,0.109980807
7372,0.2679221
7373,0.2679221
7381,0.346441874
7384,0.25285944
7441,0.307713384
7442,0.467880555
7444,0.165437249
7451,0.10001907
7452,0.120226641
7511,0.162349102
7512,0.28050522
7513,0.294265442
7514,0.17626556
7521,0.099781808
7522,0.073684096
7531,0.18196424
7532,0.224879287
7533,0.373873655
7534,0.207071613
7535,0.278165556
7611,0.158606521
7612,0.194020239
7621,0.061970359
7622,0.133872969
8211,0.303565424
8221,0.649116049
8222,0.649116049
8231,0.131739442
8232,0.071753326
8241,0.120694611
8252,0.312899792
8255,0.350886927
8261,0.03047543
8262,0.03047543
8411,0.16074938
8412,0.098725047
8421,0.128277854
8422,0.090476571
8431,0.053681979
8432,0.122995921
8441,0.03047543
8442,0.127722676
8611,0.042621356
8612,0.206750752
8613,0.136000645
8614,0.16074938
8615,0.138086714
9211,0.291969335
9212,0.291969335
9213,0.291969335
9214,0.291969335
9215,0.291969335
9217,0.291969335
9221,0.291969335
9222,0.291969335
9223,0.291969335
9224,0.291969335
9226,0.291969335
9227,0.291969335
9231,0.130359989
9232,0.023740272
9235,0.075462672
9241,0.069255987
9243,0.109499356
9411,0.130359989
9412,0.105490817
9413,0.165645687
9414,0.103251706
9415,0.052863424
9416,0.068125078
9417,0.184921583
9418,0.099716547
9421,0.089269878
9422,0.06122382
9423,0.050319439
9431,0.152395089
9432,0.125083634
9433,0.16503678
9434,0.119272574
9435,0.16503678
9436,0.149677431
9437,0.067730131
9441,0.146701461
9442,0.099586967
9445,0.146701461
9446,0.140437795
9447,0.052863424
9461,0.058995766
9462,0.265665786
9463,0.072001543
9465,0.052863424
9471,0.34289007
9472,0.397419914
9473,0.176277433
9474,0.510269226
9521,0.103744124
9522,0.111643785
9523,0.110763383
9524,0.124638341
9525,0.121336448
9526,0.111643785
9527,0.052863424
9531,0.070161279
9532,0.052863424
9534,0.473089506
9535,0.052863424
9536,0.182798981
9537,0.170739705
9611,0.157216778
9612,0.157216778
9613,0.157216778
9614,0.157216778
9615,0.157216778
9616,0.181328047
9617,0.157216778
9618,0.157216778
9619,0.197473455
