noc,workshop.number,fewer,more,same,sum,not_increase,y,binned_y
Instructors of persons with disabilities,2,0.043478260869565216,0.6521739130434783,0.30434782608695654,23.0,0.34782608695652173,more,more
Instructors of persons with disabilities,3,0.3,0.4,0.3,20.0,0.6,more,not_increase
Instructors of persons with disabilities,4,0.21052631578947367,0.47368421052631576,0.3157894736842105,19.0,0.5263157894736842,more,not_increase
Instructors of persons with disabilities,5,0.13333333333333333,0.4,0.4666666666666667,15.0,0.6,same,not_increase
Instructors of persons with disabilities,6,0.21739130434782608,0.5217391304347826,0.2608695652173913,23.0,0.4782608695652174,more,more
"Labourers in food, beverage and associated products processing",1,0.5238095238095238,0.09523809523809523,0.38095238095238093,21.0,0.9047619047619048,fewer,not_increase
"Labourers in food, beverage and associated products processing",2,0.5217391304347826,0.21739130434782608,0.2608695652173913,23.0,0.782608695652174,fewer,not_increase
"Labourers in food, beverage and associated products processing",3,0.5,0.2,0.3,20.0,0.8,fewer,not_increase
"Labourers in food, beverage and associated products processing",4,0.42105263157894735,0.21052631578947367,0.3684210526315789,19.0,0.7894736842105263,fewer,not_increase
"Labourers in food, beverage and associated products processing",5,0.6,0.06666666666666667,0.3333333333333333,15.0,0.9333333333333333,fewer,not_increase
"Labourers in food, beverage and associated products processing",6,0.2608695652173913,0.43478260869565216,0.30434782608695654,23.0,0.5652173913043478,more,not_increase
Lawyers and Quebec notaries,2,0.30434782608695654,0.2608695652173913,0.43478260869565216,23.0,0.7391304347826086,same,not_increase
Light duty cleaners,5,0.06666666666666667,0.8666666666666667,0.06666666666666667,15.0,0.13333333333333333,more,more
Managers in agriculture,1,0.5238095238095238,0.23809523809523808,0.23809523809523808,21.0,0.7619047619047619,fewer,not_increase
Medical administrative assistants,1,0.47619047619047616,0.23809523809523808,0.2857142857142857,21.0,0.7619047619047619,fewer,not_increase
Medical administrative assistants,2,0.6086956521739131,0.17391304347826086,0.21739130434782608,23.0,0.8260869565217391,fewer,not_increase
Medical administrative assistants,3,0.4,0.4,0.2,20.0,0.6,fewer,not_increase
